"Canton","Nationalité","Mois","Janvier 2017","Janvier 2017","Janvier 2017","Janvier 2017","Janvier 2017","Février 2017","Février 2017","Février 2017","Février 2017","Février 2017","Mars 2017","Mars 2017","Mars 2017","Mars 2017","Mars 2017","Avril 2017","Avril 2017","Avril 2017","Avril 2017","Avril 2017","Mai 2017","Mai 2017","Mai 2017","Mai 2017","Mai 2017","Juin 2017","Juin 2017","Juin 2017","Juin 2017","Juin 2017","Juillet 2017","Juillet 2017","Juillet 2017","Juillet 2017","Juillet 2017","Août 2017","Août 2017","Août 2017","Août 2017","Août 2017","Septembre 2017","Septembre 2017","Septembre 2017","Septembre 2017","Septembre 2017"
 , ,"Mesures","Chômeurs inscrits","Chômeurs jeunes","Chômeurs de longue durée","Demandeurs d'emploi","Demandeurs d'emploi non chômeurs","Chômeurs inscrits","Chômeurs jeunes","Chômeurs de longue durée","Demandeurs d'emploi","Demandeurs d'emploi non chômeurs","Chômeurs inscrits","Chômeurs jeunes","Chômeurs de longue durée","Demandeurs d'emploi","Demandeurs d'emploi non chômeurs","Chômeurs inscrits","Chômeurs jeunes","Chômeurs de longue durée","Demandeurs d'emploi","Demandeurs d'emploi non chômeurs","Chômeurs inscrits","Chômeurs jeunes","Chômeurs de longue durée","Demandeurs d'emploi","Demandeurs d'emploi non chômeurs","Chômeurs inscrits","Chômeurs jeunes","Chômeurs de longue durée","Demandeurs d'emploi","Demandeurs d'emploi non chômeurs","Chômeurs inscrits","Chômeurs jeunes","Chômeurs de longue durée","Demandeurs d'emploi","Demandeurs d'emploi non chômeurs","Chômeurs inscrits","Chômeurs jeunes","Chômeurs de longue durée","Demandeurs d'emploi","Demandeurs d'emploi non chômeurs","Chômeurs inscrits","Chômeurs jeunes","Chômeurs de longue durée","Demandeurs d'emploi","Demandeurs d'emploi non chômeurs"
"Zurich","Etrangers",,"15'060","1'194","2'529","18'358","3'298","14'787","1'185","2'497","18'189","3'402","14'382","1'147","2'381","17'808","3'426","13'572","1'009","2'329","16'926","3'354","13'097","936","2'293","16'516","3'419","12'724","904","2'213","16'174","3'450","12'546","1'084","2'193","15'950","3'404","12'151","1'049","2'149","15'504","3'353","12'111","1'015","2'106","15'384","3'273"
"Vaud","Etrangers",,"10'923","765","1'755","14'765","3'842","10'430","699","1'700","14'431","4'001","9'840","661","1'649","13'879","4'039","9'358","630","1'648","13'289","3'931","8'856","595","1'575","12'829","3'973","8'147","491","1'528","12'311","4'164","8'143","550","1'470","12'107","3'964","8'355","717","1'420","12'235","3'880","8'264","625","1'399","12'166","3'902"
"Vaud","Suisses",,"9'749","1'260","1'888","13'254","3'505","9'557","1'248","1'829","13'060","3'503","9'187","1'126","1'743","12'785","3'598","8'995","1'058","1'745","12'497","3'502","8'758","990","1'670","12'463","3'705","8'606","929","1'641","12'407","3'801","8'962","1'071","1'666","12'484","3'522","9'143","1'351","1'645","12'620","3'477","8'891","1'279","1'616","12'483","3'592"
"Vaud","Total",,"20'672","2'025","3'643","28'019","7'347","19'987","1'947","3'529","27'491","7'504","19'027","1'787","3'392","26'664","7'637","18'353","1'688","3'393","25'786","7'433","17'614","1'585","3'245","25'292","7'678","16'753","1'420","3'169","24'718","7'965","17'105","1'621","3'136","24'591","7'486","17'498","2'068","3'065","24'855","7'357","17'155","1'904","3'015","24'649","7'494"
"Valais","Etrangers",,"5'343","408","320","7'417","2'074","4'563","351","294","6'942","2'379","3'643","301","283","5'939","2'296","3'354","269","273","5'211","1'857","2'746","235","244","4'446","1'700","2'280","246","223","3'869","1'589","2'189","268","221","3'697","1'508","2'246","297","220","3'804","1'558","2'126","287","211","3'772","1'646"
"Valais","Suisses",,"3'716","634","447","5'572","1'856","3'470","603","423","5'371","1'901","3'128","524","425","4'999","1'871","3'051","494","427","4'706","1'655","2'941","471","415","4'446","1'505","2'759","454","390","4'252","1'493","2'816","487","382","4'302","1'486","2'817","528","376","4'368","1'551","2'690","459","377","4'255","1'565"
"Valais","Total",,"9'059","1'042","767","12'989","3'930","8'033","954","717","12'313","4'280","6'771","825","708","10'938","4'167","6'405","763","700","9'917","3'512","5'687","706","659","8'892","3'205","5'039","700","613","8'121","3'082","5'005","755","603","7'999","2'994","5'063","825","596","8'172","3'109","4'816","746","588","8'027","3'211"
"Neuchâtel","Etrangers",,"2'840","277","604","3'574","734","2'789","285","587","3'555","766","2'591","262","571","3'355","764","2'393","233","574","3'170","777","2'222","214","547","3'059","837","2'011","191","508","2'840","829","2'016","185","500","2'749","733","2'003","214","510","2'715","712","1'970","216","497","2'670","700"
"Neuchâtel","Suisses",,"3'212","530","770","4'138","926","3'225","512","761","4'116","891","3'116","483","761","4'025","909","3'021","470","755","3'908","887","2'914","441","731","3'843","929","2'761","423","713","3'772","1'011","2'836","452","724","3'756","920","2'861","539","745","3'755","894","2'768","510","713","3'680","912"
"Neuchâtel","Total",,"6'052","807","1'374","7'712","1'660","6'014","797","1'348","7'671","1'657","5'707","745","1'332","7'380","1'673","5'414","703","1'329","7'078","1'664","5'136","655","1'278","6'902","1'766","4'772","614","1'221","6'612","1'840","4'852","637","1'224","6'505","1'653","4'864","753","1'255","6'470","1'606","4'738","726","1'210","6'350","1'612"
"Genève","Etrangers",,"6'765","358","1'222","8'656","1'891","6'629","348","1'178","8'524","1'895","6'438","326","1'169","8'351","1'913","6'186","278","1'136","8'051","1'865","6'111","260","1'137","8'014","1'903","5'970","246","1'106","7'876","1'906","5'874","241","1'076","7'686","1'812","5'879","265","1'069","7'664","1'785","5'942","297","1'091","7'601","1'659"
